uri:/instrument/1.0/AAPL/chartdata;type=quote;range=10d/csv
ticker:aapl
Company-Name:Apple Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:113.4000
range:20150910,1441891800,1441915200
range:20150911,1441978200,1442001600
range:20150914,1442237400,1442260800
range:20150915,1442323800,1442347200
range:20150916,1442410200,1442433600
range:20150917,1442496600,1442520000
range:20150918,1442583000,1442606400
range:20150921,1442842200,1442865600
range:20150922,1442928600,1442952000
range:20150923,1443015000,1443038400
Timestamp:1441891800,1443038400
labels:1441891800,1441978200,1442237400,1442323800,1442410200,1442496600,1442583000,1442842200,1442928600,1443015000
values:Timestamp,close,high,low,open,volume
close:110.2200,116.4700
high:110.7000,116.8900
low:109.9000,116.4100
open:110.0700,116.5800
volume:0,16754000
1441904040,112.6000,112.6300,112.5000,112.6000,325100
1441904340,112.4750,112.6300,112.3889,112.5900,425400
1441904699,112.3994,112.4700,112.3200,112.4700,283300
1441904996,112.4100,112.5400,112.3800,112.3900,260600
1441905240,112.2500,112.5400,112.2400,112.4100,385100
1441905540,112.4200,112.4500,112.2500,112.2560,269800
1441905840,112.6750,112.6900,112.3500,112.4200,479100
1441906199,112.9050,112.9300,112.5600,112.6700,752000
1441906443,113.0400,113.0400,112.7900,112.9000,828400
1441906740,113.0688,113.2800,112.9700,113.0350,1004700
1441907099,113.0050,113.1000,112.8500,113.0700,710300
1441907399,112.8800,113.0001,112.8100,113.0000,617800
1441907699,112.8000,113.0701,112.7300,112.8800,647900
1441907999,112.8300,112.8500,112.6800,112.7920,391500
1441908240,112.6650,112.8900,112.5750,112.8300,748000
1441908599,112.6600,112.7800,112.6150,112.6600,314200
1441908898,112.7400,112.8700,112.6400,112.6400,408400
1441909140,112.4300,112.7699,112.3110,112.7440,767000
1441909441,112.5400,112.6000,112.3700,112.4350,361700
1441909740,112.6699,112.6700,112.5200,112.5400,370900
1441910099,112.8400,112.9698,112.6400,112.6600,544400
1441910341,112.8700,112.9000,112.7400,112.8400,367100
1441910699,112.9800,113.1200,112.8500,112.8700,606700
1441910940,112.9460,113.0450,112.8400,112.9800,439000
1441911240,112.8600,113.0100,112.7800,112.9410,467700
1441911599,112.5325,112.8500,112.4900,112.8500,556500
1441911899,112.2500,112.6510,112.1100,112.5300,930200
1441912140,112.5100,112.5200,112.2300,112.2320,595600
1441912440,112.6600,112.6800,112.4700,112.5100,540300
1441912799,112.6660,112.8300,112.5900,112.6500,654300
1441913040,112.5200,112.7400,112.4500,112.6600,719200
1441913399,112.4800,112.5900,112.3100,112.5200,707000
1441913699,112.3300,112.4700,112.1550,112.4700,688200
1441913940,112.2210,112.4200,112.1000,112.3400,802300
1441914240,112.2700,112.2900,111.9500,112.2300,1110900
1441914540,112.2400,112.3400,112.1200,112.2699,814300
1441914899,112.4010,112.4600,112.1900,112.2600,803800
1441915143,112.5900,112.6800,112.3700,112.4050,4005700
1441915200,112.5700,112.5700,112.5700,112.5700,0
1441978440,111.9550,112.0900,111.7600,111.7800,0
1441978799,112.2600,112.4600,111.7700,111.9200,1180000
1441979040,112.0000,112.3300,111.9700,112.2600,1180600
1441979340,112.0100,112.1600,111.9700,112.0300,845200
1441979699,111.8900,112.1088,111.8600,112.0100,745900
1441979940,112.0000,112.2780,111.8800,111.8900,899500
1441980299,111.9200,112.1100,111.8500,112.0000,727700
1441980540,112.0800,112.1500,111.8400,111.9300,716300
1441980899,111.9630,112.1500,111.9100,112.0700,612400
1441981141,112.1200,112.1800,111.9300,111.9700,508200
1441981443,112.1800,112.2900,112.1100,112.1300,459300
1441981740,112.0100,112.2550,112.0000,112.1772,461400
1441982099,112.0460,112.0900,111.9300,112.0000,366600
1441982399,112.1500,112.1500,111.9400,112.0550,422100
1441982640,112.5000,112.5360,112.1100,112.1500,675900
1441982940,112.5100,112.6000,112.4000,112.5001,526400
1441983242,112.4100,112.5200,112.3700,112.5150,532900
1441983541,112.3200,112.4200,112.2700,112.4100,480900
1441983841,112.1600,112.3610,112.0800,112.3200,514200
1441984199,112.1600,112.3300,112.1500,112.1700,420300
1441984499,112.0950,112.2506,112.0550,112.1540,389700
1441984740,112.2200,112.2200,111.9800,112.0900,398900
1441985041,112.1800,112.2400,112.0750,112.2100,291400
1441985340,112.2000,112.2100,112.0900,112.1740,248300
1441985698,112.0500,112.2900,112.0500,112.2400,365800
1441985999,112.2900,112.3200,111.9900,112.0500,495200
1441986299,112.2500,112.3800,112.1800,112.3000,367800
1441986540,112.2700,112.3500,112.1800,112.2500,285100
1441986899,112.4900,112.5400,112.2511,112.2700,491600
1441987141,112.5200,112.6000,112.4700,112.5100,498500
1441987499,112.7900,112.8300,112.5100,112.5300,790600
1441987741,112.7500,112.9098,112.6700,112.7965,635700
1441988099,112.9000,112.9150,112.7400,112.7443,407100
1441988399,112.7100,112.9100,112.6880,112.8900,392400
1441988640,112.7950,112.8000,112.7000,112.7000,246000
1441988999,112.9500,112.9500,112.7736,112.7900,408200
1441989241,113.0628,113.1400,112.9200,112.9400,1098600
1441989599,112.9200,113.0700,112.9000,113.0600,395200
1441989899,113.0700,113.1000,112.9049,112.9200,300200
1441990198,113.1843,113.1900,113.0050,113.0701,460400
1441990440,113.1910,113.3100,113.1400,113.1800,591400
1441990741,113.2400,113.2928,113.1300,113.1994,434500
1441991099,113.2600,113.3000,113.1840,113.2400,381100
1441991399,113.2300,113.3100,113.1500,113.2600,420300
1441991640,113.1700,113.2700,113.1700,113.2200,265700
1441991999,113.0400,113.1799,113.0300,113.1700,337400
1441992299,112.8500,113.0570,112.8500,113.0400,507300
1441992599,112.9350,112.9350,112.8001,112.8400,380200
